id;data;importo;categoria;sottocategoria;nota
;2025-12-28;-2.50;Trasporto;Parcheggio;Ferrara TUA e' l'azienda dei trasporti e dei parcheggi
;2026-05-07;-3.30;Cibo & Mangiare;Alimentari;frutta
;2026-04-30;-23.98;Casa;Fai da te;impregnante per legno
;2022-03-17;-110.00;Personale;Intrattenimento;stagionale di Gardaland: e' svago, non una spesa ricorrente fissa
;2026-03-02;-22.10;Comunità;Tasse;PagoPA e' un pagamento alla pubblica amministrazione
;2026-08-08;-34.05;Comunità;Tasse;PagoPA
;2024-03-08;-430.21;Casa;Fai da te;materiale elettrico: lo storico MoneyWiz lo dava per intrattenimento
;2026-02-25;-800.00;Viaggi;Vacanze;caparra per una camera: la parola 'hotel' non c'e', serve dirlo a mano
;2026-05-10;-80.00;Viaggi;Vacanze;camera QuiWolf
;2026-02-28;-190.00;Viaggi;Vacanze;albergo: la regola perde contro un match sfumato dello storico, quindi va detto a mano
831787513c#1;;;Giroconto;;
617d8a71a6#1;;;Giroconto;;
3ffe771a85#1;;;Cibo & Mangiare;Alimentari;
;2023-12-14;5.00;Personale;Abbonamenti;rimborso spese di tenuta conto: e' un costo bancario che torna indietro, non manutenzione della casa
;2024-09-09;30.00;Casa;Assicurazione;rimborso Generali: riduce il premio, non e' una spesa condominiale
;2022-04-04;-32.00;Personale;Intrattenimento;Bosco Allegro e' un parco avventura: svago, non benessere
;2022-04-18;-54.00;Personale;Intrattenimento;Bosco Allegro, pasquetta
;2026-08-02;-18.10;Cibo & Mangiare;Ristoranti;un caffe' e' un bar, non una cantina
;2026-08-08;-7.70;Cibo & Mangiare;Ristoranti;El Bareto e' un bar
2761dcf5a1#1;;;Cibo & Mangiare;Ristoranti;
a93e1bb0d1#1;;;Cibo & Mangiare;Ristoranti;
dd6d9002ab#1;;;Cibo & Mangiare;Ristoranti;
f86416c3e3#1;;;Shopping;Vestiti;
a2d39b5e1e#1;;;Assistenza Sanitaria;Medico;
3252bd35eb#1;;;Shopping;Vestiti;
5710756e8f#1;;;Cibo & Mangiare;Ristoranti;
f456e39b91#1;;;Shopping;Vestiti;
9f1dc0bfc1#1;;;Casa;Luce e gas;
df229ccaf0#1;;;Casa;Luce e gas;
de44fb0c12#1;;;Cibo & Mangiare;Ristoranti;
f412fb4c92#1;;;Cibo & Mangiare;Ristoranti;
735ee80667#1;;;Casa;Manutenzione;
9c5cf8f4fe#1;;;Casa;Assicurazione;
ad22e0bda5#1;;;Cibo & Mangiare;Alimentari;
839552271b#1;;;Shopping;Regali;
79f99bc3de#1;;;Cibo & Mangiare;Ristoranti;
9081f6d215#1;;;Cibo & Mangiare;Ristoranti;
2d615b60df#1;;;Cibo & Mangiare;Ristoranti;
f6a84a794d#1;;;Cibo & Mangiare;Ristoranti;
e962445138#1;;;Cibo & Mangiare;Ristoranti;
f0bef963c9#1;;;Cibo & Mangiare;Ristoranti;
fcef1cf2c3#1;;;Cibo & Mangiare;Ristoranti;
5fef83ef94#1;;;Cibo & Mangiare;Ristoranti;
d2b958975c#1;;;Giroconto;;
7a061a3e6c#1;;;Cibo & Mangiare;Ristoranti;
33a1dbbf13#1;;;Cibo & Mangiare;Ristoranti;
14ad8562fd#1;;;Cibo & Mangiare;Alimentari;
3b9c5a13cd#1;;;Cibo & Mangiare;Ristoranti;
4ad7f07dc2#1;;;Cibo & Mangiare;Ristoranti;
3fcfd0a6d9#1;;;Cibo & Mangiare;Ristoranti;
ea8d77aa15#1;;;Cibo & Mangiare;Ristoranti;
aa978796f2#1;;;Cibo & Mangiare;Ristoranti;
87e3712c35#1;;;Cibo & Mangiare;Ristoranti;
3a811f2a20#1;;;Casa;Luce e gas;
a6bd10c8a1#1;;;Casa;Luce e gas;
f1bed2c6cc#1;;;Casa;Luce e gas;
f58c604869#1;;;Casa;Luce e gas;
17aac4bf79#1;;;Casa;Luce e gas;
fde476b623#1;;;Casa;Luce e gas;
e991053056#1;;;Casa;Luce e gas;
85760a9b8c#1;;;Giroconto;;
b6e86e69d1#1;;;Trasporto;Pedaggi;
fc20230bf9#1;;;Trasporto;Pedaggi;
fa5a5f0a61#1;;;Giroconto;;
d94a67cb72#1;;;Giroconto;;
7df090a66e#1;;;Giroconto;;
5c120a9ee7#1;;;Giroconto;;
e071996712#1;;;Giroconto;;
6302fb7166#1;;;Giroconto;;
42ac66fbc9#1;;;Giroconto;;
4adf33411e#1;;;Giroconto;;
457f02d548#1;;;Cibo & Mangiare;Ristoranti;
d80d02984d#1;;;Casa;Arredamento;
3799d75bc4#1;;;Shopping;Vestiti;
429672a92c#1;;;Assistenza Sanitaria;Farmacia;
a4902041fd#1;;;Trasporto;Parcheggio;
eab391984d#1;;;Cibo & Mangiare;Alimentari;
96aaef11c6#1;;;Cibo & Mangiare;Ristoranti;
0cd4dbf2f4#1;;;Cibo & Mangiare;Alimentari;
0cedf26c19#1;;;Cibo & Mangiare;Ristoranti;
bf46fb6274#1;;;Cibo & Mangiare;Ristoranti;
55b8879c60#1;;;Cibo & Mangiare;Alimentari;
4b4b623146#1;;;Shopping;Regali;
908612bf17#1;;;Casa;Arredamento;
65b87cbb6e#1;;;Cibo & Mangiare;Cantina e Specialita;
88af0a469a#1;;;Cibo & Mangiare;Ristoranti;
3b8c8d2938#1;;;Casa;Arredamento;
d7187a7a7e#1;;;Casa;Arredamento;
