pattern;categoria;sottocategoria
(?i)macelleria|panificio|panetteria|pescheria|ortofrutta|salumeria|\bforno\b|molon|vivafruit|carni equine;Cibo & Mangiare;Alimentari
(?i)azienda agricola|enoteca|cantina|\bvini\b|\bvino\b|vivino|dischiponte;Cibo & Mangiare;Cantina e Specialita
(?i)\bmensa\b|ticket restaurant|buoni pasto|edenred|pellegrini card|day ristoservice|ucagric men;Cibo & Mangiare;Pranzo Lavoro
(?i)^prelievo|prelievo (smart|mastercard|bancomat);Da identificare;
(?i)ristorante|trattoria|osteria|pizzeria|hosteria|braceria|sushi|mcdonald|burger king|\bkfc\b|old wild west|roadhouse|burghy|beghini|bomagrill|grotta azzurra|bottega della birra|makako|panzare|anteiko|the public|torcoli|ti amo cioccolato|vinsanto|visanto|bastianello|deliveroo|glovo|justeat;Cibo & Mangiare;Ristoranti
(?i)\bbar\b|caffetteria|pasticceria|gelateria|aperitivo|birreria|\bpub\b|\bcafe\b|caff\we;Cibo & Mangiare;Ristoranti
# Persona.;;
(?i)midjourney|moonshot ai|\bollama\b|openai|anthropic|claude\.ai|perplexity|\breplicate\b|cursor\.(com|sh);Personale;Abbonamenti
(?i)canone hype;Personale;Abbonamenti
(?i)netflix|spotify|disney ?\+|\bdazn\b|amazon prime|prime video|now ?tv|apple\.?com/bill|apple bill|itunes|icloud|google ?(one|storage)|youtube ?premium|dropbox|microsoft ?365|adobe;Personale;Abbonamenti
(?i)palestra|fitness|virgin active|mcfit|anytime fitness|centro sportivo|emporio della cosmesi|profumeria|sephora|douglas|parrucchier|estetist;Personale;Benessere
(?i)cinema|the space|uci cinemas|teatro|concerto|ticketone|vivaticket|steam ?games|playstation|nintendo|xbox|blizzard|instant gaming|gardaland|mostra |museo;Personale;Intrattenimento
# Salute: le farmacie prima dei medici, sono la voce piu' frequente.;;
(?i)farmacia|parafarmacia|lloyds ?farmacia|apoteca;Assistenza Sanitaria;Farmacia
(?i)poliambulator|laboratorio analisi|radiolog|fisioterap|dentist|odontoiatr|ottica|occhiali|nutrizionist|dermatolog|ospedale|\basl\b|\bdott{0,3}\.;Assistenza Sanitaria;Medico
# Viaggi.;;
(?i)\bhotel\b|\balbergo\b|booking\.com|airbnb|\bresort\b|ostello|pernottamento|immigration visa|agriturismo;Viaggi;Vacanze
# Acquisti.;;
(?i)zara\b|h&m|hm\.com|decathlon|\bovs\b|kiabi|primark|calzedonia|intimissimi|scarpe|abbigliamento|\bnike\b|adidas|shein|yamamay|outlet noventa|primadonna|pittarosso;Shopping;Vestiti
(?i)mediaworld|unieuro|euronics|trony|apple store|monclick|\bcomet\b|samsung|dyson|\biphone\b;Shopping;Tecnologia
(?i)feltrinelli|mondadori|libreria|fiorista|gift ?card|paypal.*visa direct|tosi gioielli|regalo;Shopping;Regali
(?i)\bebay\b|aliexpress|zalando|temu;Shopping;Amazon
# Entrate.;;
(?i)stipendio|salario|retribuzione|emolumenti|cedolino;Stipendio;
(?i)affitto attivo|canone attivo|affitti incassati|bonifico inquilino;Affitti incassati;
# Ultima spiaggia: un bonifico senza causale non si indovina, si segnala.;;
(?i)bonifico istantaneo del|disposizione di bonifico(?!.*(?:mangano|hype|inquilino));Da identificare;
